system:index,MeanDBSI,Month,.geo
0,-0.761619771787163,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.6794006610741025,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.6684257538963743,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.9174567297187933,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.8287950409412036,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.8201990904844345,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.9084485328854177,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.7439846517624789,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.7682860441328935,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.7025899060692604,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.8524641292396901,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.6916579418810336,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
