system:index,MeanNDSI1,Month,.geo
0,-0.23269850393522704,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.18561042773681105,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.14397431042046172,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.17919641542553466,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.25135069178438313,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.22066544901852606,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.17898871918359163,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.21340275251007057,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.17619764440456906,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.1755314899641574,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.189709427196001,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.17005241640955485,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
